"","Employee Num","No","Yes"
"1","####",0.056,0.944
"2","####",0.07,0.93
"3","####",0.088,0.912
"4","####",0.092,0.908
"5","####",0.1,0.9
"6","####",0.118,0.882
"7","####",0.12,0.88
"8","####",0.122,0.878
"9","####",0.128,0.872
"10","####",0.138,0.862
"11","####",0.14,0.86
"12","####",0.146,0.854
"13","####",0.156,0.844
"14","####",0.17,0.83
"15","####",0.176,0.824
"16","####",0.178,0.822
"17","####",0.18,0.82
"18","####",0.19,0.81
"19","####",0.192,0.808
"20","####",0.192,0.808
"21","####",0.192,0.808
"22","####",0.194,0.806
"23","####",0.194,0.806
"24","####",0.194,0.806
"25","####",0.194,0.806
